Комментарий к вопросу  1. Какие причины (факторы) сформировали ваше решение уйти из компании (выберите не более 3-х).,"Комментарий к вопросу 1.1 Есть ли еще дополнительные причины, которые повлияли на ваше решение уйти из компании (выберите не более 3-х ).",Комментарий к вопросу 2 Рассматриваете ли вы возможность остаться в компании/перевестись внутри отрасли?,Комментарий к вопросу 3 Рассматриваете ли вы возможность возвращения в компанию?,Комментарий к вопросу 4 Готовы ли вы рекомендовать компанию как работодателя?
"""Взаимоотношения в коллективе"", ""Управление и руководство"", ""Личностные причины""","""Условия труда"", ""Взаимоотношения в коллективе"", ""Личностные причины""","""Другие причины""",,
"""Условия труда""","""Условия труда""","""Личностные причины""",,
"""Управление и руководство""","""Условия труда""","""Карьерные перспективы"", ""Взаимоотношения в коллективе"", ""Условия труда""",,
"""Условия труда""","""Управление и руководство""","""Зарплата"", ""Взаимоотношения в коллективе"", ""Условия труда"", ""Личностные причины""",,
"""Управление и руководство"", ""Условия труда""","""Другие причины""","""Зарплата""",,
"""Управление и руководство"", ""Личностные причины""","""Личностные причины""","""Карьерные перспективы""",,
"""Личностные причины""","""Условия труда""","""Личностные причины""",,
"""Зарплата"", ""Условия труда""","""Условия труда""","""Карьерные перспективы""",,
"""Зарплата"", ""Карьерные перспективы""","""Условия труда""","""Зарплата"", ""Личностные причины"", ""Другие причины""",,
"""Условия труда"", ""Взаимоотношения в коллективе"", ""Управление и руководство"", ""Личностные причины""","""Управление и руководство""","""Карьерные перспективы"", ""Условия труда""",,
"""Взаимоотношения в коллективе"", ""Управление и руководство"", ""Личностные причины""","""Условия труда""","""Карьерные перспективы"", ""Условия труда""",,
"""Личностные причины""","""Условия труда"", ""Взаимоотношения в коллективе"", ""Управление и руководство""","""Карьерные перспективы"", ""Управление и руководство""",,
"""Карьерные перспективы"", ""Условия труда""","""Взаимоотношения в коллективе""","""Условия труда""",,
"""Личностные причины""","""Другие причины""","""Карьерные перспективы"", ""Условия труда""",,
"""Личностные причины""","""Взаимоотношения в коллективе"", ""Условия труда""","""Карьерные перспективы"", ""Условия труда""",,
"""Управление и руководство""","""Условия труда"", ""Взаимоотношения в коллективе"", ""Управление и руководство"", ""Личностные причины""","""Карьерные перспективы"", ""Личностные причины""",,
"""Личностные причины""","""Условия труда"", ""График работы"", ""Личностные причины""","""Карьерные перспективы"", ""Условия труда""",,
"""Зарплата"", ""Условия труда""","""Условия труда"", ""Взаимоотношения в коллективе"", ""Управление и руководство""","""Зарплата"", ""Карьерные перспективы""",,
"""Другие причины""","""Взаимоотношения в коллективе"", ""Управление и руководство"", ""Личностные причины"", ""Другие причины""","""Условия труда""",,
"""Другие причины""","""Условия труда""","""Карьерные перспективы"", ""Условия труда""",,
"""Взаимоотношения в коллективе"", ""Управление и руководство"", ""Личностные причины""","""Перевод внутри организации в другой отдел""","""Личностные причины""",,
"""Управление и руководство""","""Другие причины""","""Условия труда"", ""Личностные причины""",,
"""Личностные причины""","""Личностные причины""","""Карьерные перспективы"", ""Управление и руководство""",,
"""Личностные причины""","""Управление и руководство""","""Зарплата""",,
"""Личностные причины""","""Другие причины""","""Другие причины""",,
"""Управление и руководство"", ""Взаимоотношения в коллективе"", ""Личностные причины""","""Личностные причины""","""Зарплата"", ""Карьерные перспективы""",,
"""Личностные причины""","""Личностные причины""","""Личностные причины""",,
"""Зарплата"", ""Карьерные перспективы""","""Карьерные перспективы""","""Карьерные перспективы"", ""Условия труда""",,
"""Личностные причины""","""Условия труда""","""Условия труда""",,
"""Условия труда""","""Взаимоотношения в коллективе"", ""Личностные причины""","""Личностные причины""",,
"""Управление и руководство"", ""Личностные причины""","""Отсутствуют.""","""Зарплата"", ""Условия труда""",,
"""Взаимоотношения в коллективе""","""Другие причины""","""Зарплата""",,
"""График работы""","""Другие причины""","""Зарплата""",,
"""График работы""","""Другие причины""","""Карьерные перспективы"", ""Условия труда""",,
"""График работы""","""Карьерные перспективы"", ""Условия труда""","""Карьерные перспективы""",,
"""График работы""","""Условия труда"", ""Взаимоотношения в коллективе"", ""Личностные причины""","""Карьерные перспективы"", ""Условия труда""",,
"""Зарплата"", ""Условия труда"", ""График работы""","""Условия труда"", ""Взаимоотношения в коллективе"", ""Личностные причины""","""Другие причины""",,
"""Переход внутри дивизиона""","""Условия труда"", ""График работы""","""Карьерные перспективы"", ""Условия труда""",,
"""Зарплата"", ""Условия труда""","""Условия труда"", ""Взаимоотношения в коллективе""","""Личностные причины""",,
"""Взаимоотношения в коллективе"", ""Условия труда""","""Условия труда""","""Условия труда""",,
"""Карьерные перспективы"", ""Взаимоотношения в коллективе"", ""Условия труда"", ""Управление и руководство"", ""Личностные причины""","""Условия труда""","""Управление и руководство"", ""Взаимоотношения в коллективе"", ""Условия труда""",,
"""Личностные причины""","""Другие причины""","""Условия труда"", ""Взаимоотношения в коллективе"", ""Личностные причины""",,
"""Условия труда""","""Управление и руководство"", ""Личностные причины""","""Карьерные перспективы"", ""Условия труда""",,
"""Зарплата"", ""Карьерные перспективы""","""Зарплата"", ""Карьерные перспективы"", ""Условия труда""","""Взаимоотношения в коллективе""",,
"""Условия труда""","""Условия труда""","""Взаимоотношения в коллективе"", ""Личностные причины""",,
"""Карьерные перспективы"", ""Личностные причины""","""Личностные причины""","""Условия труда""",,
"""Карьерные перспективы"", ""Личностные причины""","""Условия труда""","""Зарплата"", ""Карьерные перспективы""",,
"""Условия труда"", ""Взаимоотношения в коллективе"", ""Управление и руководство"", ""Личностные причины""","""Условия труда""","""Зарплата"", ""Условия труда""",,
"""Личностные причины""","""Условия труда""","""Условия труда""",,
"""Личностные причины""","""Управление и руководство""","""Взаимоотношения в коллективе"", ""Условия труда""",,
"""Личностные причины""","""Карьерные перспективы"", ""Условия труда""","""Карьерные перспективы"", ""Условия труда""",,
"""Зарплата"", ""Карьерные перспективы"", ""Условия труда""","""Условия труда"", ""Личностные причины""","""Управление и руководство""",,
"""Взаимоотношения в коллективе"", ""Личностные причины""","""Другие причины""","""Другие причины""",,
"""Зарплата"", ""Карьерные перспективы""","""Условия труда""","""Личностные причины""",,
"""Личностные причины""","""Другие причины""","""Карьерные перспективы"", ""Условия труда""",,
"""Условия труда""","""Личностные причины""","""Карьерные перспективы"", ""Личностные причины""",,
"""Другие причины""","""Условия труда"", ""Личностные причины""","""Условия труда""",,
"""Условия труда""","""Личностные причины""","""Зарплата"", ""Взаимоотношения в коллективе""",,
"""Взаимоотношения в коллективе"", ""Условия труда"", ""Управление и руководство""","""Переезд в другой город""","""Карьерные перспективы"", ""Условия труда""",,
"""График работы"", ""Условия труда""","""Карьерные перспективы""","""Карьерные перспективы"", ""Условия труда""",,
"""Условия труда"", ""График работы"", ""Личностные причины""","""Управление и руководство""","""Условия труда""",,
"""Управление и руководство""","""Другие причины""","""Личностные причины""",,
"""Личностные причины""","""Личностные причины""","""Условия труда""",,
"""Зарплата"", ""Условия труда""","""Карьерные перспективы"", ""Другие причины""","""Взаимоотношения в коллективе"", ""Управление и руководство"", ""Личностные причины""",,
"""Условия труда"", ""График работы"", ""Управление и руководство"", ""Личностные причины""","""Личностные причины""","""Карьерные перспективы"", ""Условия труда""",,
"""Зарплата""","""Зарплата"", ""Условия труда""","""Другие причины""",,
"""Личностные причины""","""Управление и руководство""","""Зарплата""",,
"""Условия труда"", ""Взаимоотношения в коллективе"", ""Управление и руководство""","""Другие причины""","""Карьерные перспективы"", ""Личностные причины""",,
"""Личностные причины""","""Карьерные перспективы"", ""Личностные причины""","""Личностные причины""",,
"""Зарплата"", ""Условия труда""","""График работы"", ""Условия труда""","""Карьерные перспективы"", ""Условия труда""",,
"""Условия труда"", ""Взаимоотношения в коллективе"", ""Личностные причины""","""Личностные причины""","""Управление и руководство""",,
"""Зарплата"", ""Условия труда"", ""Личностные причины""","""Взаимоотношения в коллективе"", ""Условия труда""","""Карьерные перспективы"", ""Условия труда""",,
"""Личностные причины""","""Управление и руководство"", ""Личностные причины""","""Карьерные перспективы"", ""Условия труда""",,
"""Управление и руководство"", ""Личностные причины""","""Зарплата"", ""Условия труда"", ""График работы""","""Карьерные перспективы"", ""Условия труда""",,
"""Баланс работы и семьи"" относится к классу причин ""Личностные причины"".","""Зарплата"", ""Условия труда""","""Карьерные перспективы"", ""Условия труда""",,
"""Взаимоотношения в коллективе"", ""Управление и руководство"", ""Личностные причины""","""Зарплата"", ""Условия труда""","""Карьерные перспективы"", ""Условия труда""",,
"""Управление и руководство"", ""Условия труда""","""Управление и руководство"", ""Личностные причины""","""Другие причины""",,
"""Личностные причины""","""Другие причины""","""Зарплата"", ""Карьерные перспективы"", ""Условия труда""",,
"""Зарплата""","""Условия труда"", ""Личностные причины""","""Условия труда""",,
"""Взаимоотношения в коллективе"", ""Управление и руководство"", ""Личностные причины""","""Условия труда"", ""Зарплата"", ""Личностные причины""","""Другие причины""",,
"""Карьерные перспективы"", ""Личностные причины""","""Личностные причины""","""Карьерные перспективы"", ""Условия труда""",,
"""Личностные причины""","""Личностные причины""","""График работы""",,
"""Условия труда"", ""Взаимоотношения в коллективе"", ""Управление и руководство""","""Другие причины""","""Карьерные перспективы"", ""Условия труда""",,
"""Взаимоотношения в коллективе"", ""Управление и руководство"", ""Личностные причины""","""Другие причины""","""Другие причины""",,
"""Условия труда""","""Другие причины""","""Условия труда""",,
"""Личностные причины""","""Другие причины""","""Зарплата""",,
"""Взаимоотношения в коллективе"", ""Условия труда""","""Другие причины""","""Карьерные перспективы""",,
"""Условия труда""","""Другие причины""","""Личностные причины""",,
"""Зарплата"", ""Карьерные перспективы"", ""Условия труда""","""Другие причины""","""Зарплата"", ""Условия труда""",,
"""Карьерные перспективы"", ""Условия труда""","""Другие причины""","""Карьерные перспективы"", ""Условия труда""",,
"""Управление и руководство"", ""Личностные причины""","""Другие причины""","""Личностные причины""",,
"""Личностные причины""","""Другие причины""","""Взаимоотношения в коллективе"", ""Управление и руководство""",,
"""Взаимоотношения в коллективе""","""Другие причины""","""Личностные причины""",,
"""Личностные причины""","""Другие причины""","""Личностные причины""",,
"""Переезд в Турецкую Республику"", ""Работа на АЭС Аккую""","""Другие причины""","""Карьерные перспективы""",,
"""Зарплата"", ""Условия труда""","""Другие причины""","""Личностные причины""",,
"""Личностные причины""","""Другие причины""","""Другие причины""",,
"""Управление и руководство"", ""Личностные причины"", ""Другие причины""","""Другие причины""","""Условия труда""",,
"""Зарплата"", ""Карьерные перспективы"", ""Взаимоотношения в коллективе"", ""Условия труда""","""Другие причины""","""Карьерные перспективы"", ""Условия труда""",,
"""Личностные причины""","""Другие причины""","""Карьерные перспективы"", ""Условия труда""",,
"""Управление и руководство""","""Другие причины""","""Карьерные перспективы"", ""Личностные причины""",,
"""Условия труда""","""Другие причины""","""Карьерные перспективы"", ""Условия труда""",,
"""Карьерные перспективы""","""Другие причины""","""Взаимоотношения в коллективе"", ""Условия труда""",,
"""Зарплата""","""Другие причины""","""Другие причины""",,
"""Условия труда"", ""Управление и руководство"", ""Личностные причины""","""Другие причины""","""Карьерные перспективы"", ""Условия труда""",,
"""Карьерные перспективы"", ""Личностные причины""","""Другие причины""","""Взаимоотношения в коллективе"", ""Условия труда""",,
"""Карьерные перспективы""","""Другие причины""","""Зарплата"", ""Условия труда""",,
"""Условия труда""","""Другие причины""","""Условия труда"", ""Взаимоотношения в коллективе"", ""Личностные причины""",,
"""Условия труда""","""Другие причины""","""Карьерные перспективы"", ""Условия труда""",,
"""График работы""","""Другие причины""","""Взаимоотношения в коллективе"", ""Условия труда""",,
"""Условия труда""","""Другие причины""","""Взаимоотношения в коллективе"", ""Условия труда""",,
"""Другие причины""","""Другие причины""","""Карьерные перспективы"", ""Условия труда""",,
"""Управление и руководство"", ""Условия труда""","""Другие причины""","""Карьерные перспективы"", ""Условия труда""",,
"""Личностные причины""","""Другие причины""","""Другие причины""",,
"""Личностные причины""","""Другие причины""","""Условия труда""",,
"""Зарплата"", ""График работы"", ""Личностные причины""","""Другие причины""","""Условия труда""",,
"""Управление и руководство""","""Другие причины""","""Условия труда""",,
"""Зарплата"", ""Условия труда""","""Другие причины""","""Взаимоотношения в коллективе"", ""Условия труда""",,
"""Взаимоотношения в коллективе"", ""Управление и руководство"", ""Личностные причины""","""Другие причины""","""Карьерные перспективы"", ""Условия труда""",,
"""Релокация в НРБ""","""Другие причины""","""Другие причины""",,
"""Зарплата"", ""Карьерные перспективы"", ""Взаимоотношения в коллективе"", ""Условия труда"", ""График работы"", ""Управление и руководство"", ""Личностные причины""","""Другие причины""","""Личностные причины""",,
"""Управление и руководство""","""Другие причины""","""Карьерные перспективы"", ""Условия труда""",,
"""Условия труда""","""Другие причины""","""Зарплата"", ""Другие причины""",,
"""Взаимоотношения в коллективе""","""Другие причины""","""Взаимоотношения в коллективе"", ""Условия труда""",,
"""Зарплата"", ""Условия труда""","""Другие причины""","""Карьерные перспективы"", ""Условия труда""",,
"""График работы"", ""Условия труда""","""Другие причины""","""Карьерные перспективы"", ""Личностные причины""",,
"""Зарплата"", ""Условия труда""","""Другие причины""","""Зарплата"", ""Личностные причины""",,
"""Управление и руководство"", ""Личностные причины""","""Другие причины""","""Карьерные перспективы"", ""Условия труда""",,
"""Взаимоотношения в коллективе""","""Другие причины""","""Другие причины""",,
"""Условия труда""","""Другие причины""","""Условия труда""",,
"""Взаимоотношения в коллективе""","""Другие причины""","""Управление и руководство""",,
"""Управление и руководство""","""Другие причины""","""Карьерные перспективы"", ""Личностные причины""",,
"""Условия труда""","""Другие причины""","""Другие причины""",,
"""Зарплата"", ""Условия труда""","""Другие причины""","""Другие причины""",,
"""Личностные причины""","""Другие причины""","""Карьерные перспективы"", ""Условия труда""",,
"""Зарплата"", ""Карьерные перспективы"", ""Условия труда"", ""График работы"", ""Управление и руководство""","""Другие причины""","""Условия труда""",,
"""Условия труда""","""Другие причины""","""Управление и руководство""",,
"""Личностные причины""","""Другие причины""","""Другие причины""",,
"""Условия труда"", ""Взаимоотношения в коллективе"", ""Управление и руководство"", ""Личностные причины""","""Другие причины""","""Зарплата"", ""Карьерные перспективы"", ""Другие причины""",,
"""Личностные причины""","""Другие причины""","""Зарплата"", ""Карьерные перспективы"", ""Личностные причины""",,
"""Перевод в другую организацию по просьбе и в интересах работодателя"" относится к следующим классам причин:
- ""Управление и руководство""
- ""Личностные причины""","""Другие причины""","""Другие причины""",,
"""Личностные причины""","""Другие причины""","""Карьерные перспективы"", ""Условия труда""",,
"""График работы""","""Другие причины""","""Карьерные перспективы"", ""Условия труда""",,
"""Условия труда"", ""Взаимоотношения в коллективе"", ""Личностные причины""","""Другие причины""","""Карьерные перспективы"", ""Условия труда""",,
"""Другие причины""","""Другие причины""","""Другие причины""",,
"""Личностные причины""","""Другие причины""","""Другие причины""",,
"""Зарплата"", ""Условия труда"", ""График работы""","""Другие причины""","""Другие причины""",,
"""Карьерные перспективы""","""Другие причины""","""Другие причины""",,
"""Управление и руководство""","""Другие причины""","""Другие причины""",,
"""Зарплата""","""Другие причины""","""Другие причины""",,
"""Личностные причины""","""Другие причины""","""Другие причины""",,
"""Управление и руководство""","""Другие причины""","""Другие причины""",,
"""Личностные причины""","""Другие причины""","""Другие причины""",,
"""Зарплата"", ""Взаимоотношения в коллективе""","""Другие причины""","""Другие причины""",,
"""Личностные причины""","""Другие причины""","""Другие причины""",,
"""Личностные причины""","""Другие причины""","""Другие причины""",,
"""Зарплата"", ""Карьерные перспективы"", ""Условия труда""","""Другие причины""","""Другие причины""",,
"""Управление и руководство"", ""Личностные причины""","""Другие причины""","""Другие причины""",,
"""Зарплата""","""Другие причины""","""Другие причины""",,
"""График работы""","""Другие причины""","""Другие причины""",,
"""Личностные причины""","""Другие причины""","""Другие причины""",,
"""Зарплата"", ""Условия труда""","""Другие причины""","""Другие причины""",,
"""Карьерные перспективы"", ""Условия труда""","""Другие причины""","""Другие причины""",,
"""Карьерные перспективы"", ""Личностные причины""","""Другие причины""","""Другие причины""",,
"""Зарплата""","""Другие причины""","""Другие причины""",,
"""Зарплата"", ""Условия труда""","""Другие причины""","""Другие причины""",,
"""Управление и руководство""","""Другие причины""","""Другие причины""",,
"""Зарплата"", ""Условия труда""","""Другие причины""","""Другие причины""",,
"""Зарплата"", ""Карьерные перспективы""","""Другие причины""","""Другие причины""",,
"""Зарплата"", ""Условия труда""","""Другие причины""","""Другие причины""",,
"""Карьерные перспективы"", ""Личностные причины""","""Другие причины""","""Другие причины""",,
"""Карьерные перспективы"", ""Условия труда""","""Другие причины""","""Другие причины""",,
"""Зарплата""","""Другие причины""","""Другие причины""",,
"""Зарплата"", ""Условия труда"", ""Личностные причины""","""Другие причины""","""Другие причины""",,
"""Условия труда""","""Другие причины""","""Другие причины""",,
"""Переезд в другой регион""","""Другие причины""","""Другие причины""",,
"""Карьерные перспективы"", ""Личностные причины""","""Другие причины""","""Другие причины""",,
"""Зарплата""","""Другие причины""","""Другие причины""",,
"""Зарплата"", ""Условия труда"", ""Взаимоотношения в коллективе"", ""Управление и руководство"", ""Личностные причины""","""Другие причины""","""Другие причины""",,
"""Личностные причины""","""Другие причины""","""Другие причины""",,
"""Условия труда""","""Другие причины""","""Другие причины""",,
"""Личностные причины""","""Другие причины""","""Другие причины""",,
"""Управление и руководство""","""Другие причины""","""Другие причины""",,
"""Личностные причины""","""Другие причины""","""Другие причины""",,
"""Условия труда"", ""Взаимоотношения в коллективе"", ""Личностные причины""","""Другие причины""","""Другие причины""",,
"""Личностные причины""","""Другие причины""","""Другие причины""",,
"""Условия труда"", ""Взаимоотношения в коллективе"", ""Личностные причины""","""Другие причины""","""Другие причины""",,
"""Взаимоотношения в коллективе"", ""Личностные причины""","""Другие причины""","""Другие причины""",,
"""Условия труда"", ""Взаимоотношения в коллективе"", ""Личностные причины""","""Другие причины""","""Другие причины""",,
"""Взаимоотношения в коллективе"", ""Условия труда""","""Другие причины""","""Другие причины""",,
"""Карьерные перспективы""","""Другие причины""","""Другие причины""",,
"""Условия труда""","""Другие причины""","""Другие причины""",,
"""Управление и руководство""","""Другие причины""","""Другие причины""",,
"""Личностные причины""","""Другие причины""","""Другие причины""",,
"""Условия труда""","""Другие причины""","""Другие причины""",,
"""Личностные причины""","""Другие причины""","""Другие причины""",,
"""Зарплата""","""Другие причины""","""Другие причины""",,
"""Условия труда"", ""Взаимоотношения в коллективе"", ""Управление и руководство"", ""Личностные причины""","""Другие причины""","""Другие причины""",,
"""Карьерные перспективы"", ""Условия труда""","""Другие причины""","""Другие причины""",,
"""Зарплата"", ""Личностные причины""","""Другие причины""","""Другие причины""",,
"""Зарплата"", ""Условия труда"", ""Личностные причины""","""Другие причины""","""Другие причины""",,
"""Взаимоотношения в коллективе"", ""Управление и руководство"", ""Личностные причины""","""Другие причины""","""Другие причины""",,
"""Условия труда""","""Другие причины""","""Другие причины""",,
"""Переезд в другой город""","""Другие причины""","""Другие причины""",,
"""Личностные причины""","""Другие причины""","""Другие причины""",,
"""Зарплата"", ""Карьерные перспективы"", ""Условия труда""","""Другие причины""","""Другие причины""",,
"""Условия труда""","""Другие причины""","""Другие причины""",,
"""Условия труда"", ""Взаимоотношения в коллективе"", ""Управление и руководство""","""Другие причины""","""Другие причины""",,
"""Условия труда"", ""Взаимоотношения в коллективе"", ""Личностные причины""","""Другие причины""","""Другие причины""",,
"""Условия труда""","""Другие причины""","""Другие причины""",,
"""Управление и руководство"", ""Личностные причины""","""Другие причины""","""Другие причины""",,
"""Перевод внутри организации в другой отдел""","""Другие причины""","""Другие причины""",,
"""Профессиональное выгорание"", ""Условия труда""","""Другие причины""","""Другие причины""",,
"""Зарплата""","""Другие причины""","""Другие причины""",,
"""Карьерные перспективы"", ""Условия труда""","""Другие причины""","""Другие причины""",,
"""Зарплата""","""Другие причины""","""Другие причины""",,
"""Управление и руководство"", ""Условия труда""","""Другие причины""","""Другие причины""",,
"""Личностные причины""","""Другие причины""","""Другие причины""",,
"""Карьерные перспективы"", ""Условия труда""","""Другие причины""","""Другие причины""",,
"""Личностные причины""","""Другие причины""","""Другие причины""",,
"""Переезд в другой регион""","""Другие причины""","""Другие причины""",,
"""Зарплата"", ""Карьерные перспективы"", ""Условия труда""","""Другие причины""","""Другие причины""",,
"""Личностные причины""","""Другие причины""","""Другие причины""",,
"""Личностные причины""","""Другие причины""","""Другие причины""",,
"""Управление и руководство""","""Другие причины""","""Другие причины""",,
"""Личностные причины""","""Другие причины""","""Другие причины""",,
"""Личностные причины""","""Другие причины""","""Другие причины""",,
"""Личностные причины""","""Другие причины""","""Другие причины""",,
"""Другие причины""","""Другие причины""","""Другие причины""",,
"""Личностные причины""","""Другие причины""","""Другие причины""",,
"""Взаимоотношения в коллективе""","""Другие причины""","""Другие причины""",,
"""Управление и руководство""","""Другие причины""","""Другие причины""",,
"""Личностные причины""","""Другие причины""","""Другие причины""",,
"""График работы"", ""Условия труда""","""Другие причины""","""Другие причины""",,
"""Условия труда""","""Другие причины""","""Другие причины""",,
"""Личностные причины""","""Другие причины""","""Другие причины""",,
"""Условия труда"", ""График работы"", ""Личностные причины""","""Другие причины""","""Другие причины""",,
"""Зарплата"", ""Условия труда"", ""Личностные причины""","""Другие причины""","""Другие причины""",,
"""Карьерные перспективы"", ""Условия труда""","""Другие причины""","""Другие причины""",,
"""Зарплата"", ""Условия труда""","""Другие причины""","""Другие причины""",,
"""Зарплата"", ""Взаимоотношения в коллективе"", ""Управление и руководство""","""Другие причины""","""Другие причины""",,
"""Личностные причины""","""Другие причины""","""Другие причины""",,
"""Управление и руководство"", ""Личностные причины""","""Другие причины""","""Другие причины""",,
"""Карьерные перспективы""","""Другие причины""","""Другие причины""",,
"""Зарплата"", ""Условия труда""","""Другие причины""","""Другие причины""",,
"""Зарплата"", ""Условия труда""","""Другие причины""","""Другие причины""",,
"""Зарплата"", ""Карьерные перспективы"", ""Условия труда""","""Другие причины""","""Другие причины""",,
"""Условия труда"", ""Личностные причины""","""Другие причины""","""Другие причины""",,
"""Зарплата"", ""Условия труда""","""Другие причины""","""Другие причины""",,
"""Управление и руководство""","""Другие причины""","""Другие причины""",,
"""Карьерные перспективы""","""Другие причины""","""Другие причины""",,
"""Карьерные перспективы""","""Другие причины""","""Другие причины""",,
"""Личностные причины""","""Другие причины""","""Другие причины""",,
"""Зарплата""","""Другие причины""","""Другие причины""",,
"""Условия труда""","""Другие причины""","""Другие причины""",,
"""Личностные причины""","""Другие причины""","""Другие причины""",,
"""Зарплата"", ""Условия труда""","""Другие причины""","""Другие причины""",,
"""Условия труда""","""Другие причины""","""Другие причины""",,
"""Зарплата"", ""Условия труда""","""Другие причины""","""Другие причины""",,
"""Личностные причины""","""Другие причины""","""Другие причины""",,
"""Условия труда"", ""График работы"", ""Управление и руководство""","""Другие причины""","""Другие причины""",,
"Не люблю менять тему разговора, но вот сейчас тот самый случай.","""Другие причины""","""Другие причины""",,
"""Здоровье и возраст"", ""Личностные причины""","""Другие причины""","""Другие причины""",,
"""Личностные причины""","""Другие причины""","""Другие причины""",,
"""Личностные причины""","""Другие причины""","""Другие причины""",,
"""Личностные причины""","""Другие причины""","""Другие причины""",,
"""Зарплата""","""Другие причины""","""Другие причины""",,
"""Зарплата"", ""Условия труда""","""Другие причины""","""Другие причины""",,
"""Управление и руководство"", ""Условия труда""","""Другие причины""","""Другие причины""",,
"""Управление и руководство""","""Другие причины""","""Другие причины""",,
"""Зарплата"", ""Условия труда""","""Другие причины""","""Другие причины""",,
"""Условия труда"", ""График работы"", ""Управление и руководство""","""Другие причины""","""Другие причины""",,
"""Условия труда""","""Другие причины""","""Другие причины""",,
"""Карьерные перспективы""","""Другие причины""","""Другие причины""",,
"""Управление и руководство"", ""Взаимоотношения в коллективе"", ""Личностные причины""","""Другие причины""","""Другие причины""",,
"""Управление и руководство""","""Другие причины""","""Другие причины""",,
"""Условия труда""","""Другие причины""","""Другие причины""",,
"""Личностные причины""","""Другие причины""","""Другие причины""",,
"""Личностные причины""","""Другие причины""","""Другие причины""",,
"""Условия труда""","""Другие причины""","""Другие причины""",,
"""Условия труда""","""Другие причины""","""Другие причины""",,
"""Личностные причины""","""Другие причины""","""Другие причины""",,
"""Увольнение в порядке перевода""","""Другие причины""","""Другие причины""",,
"""Зарплата""","""Другие причины""","""Другие причины""",,
"""Управление и руководство""","""Другие причины""","""Другие причины""",,
